YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M,PRECTOTCORR,YEAR,MO,DY
20180101,1.2393821201152242,12.824680960103969,78.60956017633997,3.785080134560638,0.125584023231656,2018,1,1
20180102,0.1512893694525666,13.424328730269886,71.50968563065513,4.312142227061646,0.8922118941177533,2018,1,2
20180103,3.0922414414037784,14.469460638332285,74.36887980406985,5.609684144161789,0.3346371022120942,2018,1,3
20180104,0.5730142312841044,9.6481792852954,102.21200889320563,3.3331096702319964,0.21382335868007102,2018,1,4
20180105,0.3569193315119982,14.299498853479523,72.87258769633033,4.429680740292056,0.9546590705479606,2018,1,5
20180106,0.0,13.284682548701717,69.6100895930567,3.0184104979353594,1.0946399471417405,2018,1,6
20180107,0.0,14.678745754912299,85.66113578055463,3.1122679786401384,1.0777360951900907,2018,1,7
20180108,0.0,14.154225179616303,79.4178699196899,3.5459530872960032,0.8862442080452094,2018,1,8
20180109,0.838320655395862,12.043542476433492,63.26506773285628,3.182692764302258,0.4211922843735478,2018,1,9
20180110,0.8175935877959957,9.739384590786143,78.83816268986433,3.61270407374992,0.1873185396874045,2018,1,10
20180111,0.729455191623718,12.27135151253613,58.36837911736432,3.0510408400575044,0.061349359596632236,2018,1,11
20180112,3.5203165735407134,10.250867927297254,88.41021631305526,8.367208474783494,0.24327212367269452,2018,1,12
20180113,0.607807930444491,14.755107653970919,76.7551594305183,3.0425082265803676,0.3148362633163773,2018,1,13
20180114,4.015380903228963,14.316012486053245,65.60864382822786,8.24505830777468,0.01801784967474322,2018,1,14
20180115,0.002380725704248521,17.38190234539359,75.92664957285412,3.115759271183583,0.449617331406495,2018,1,15
20180116,0.0,10.403677141576459,82.15640525661082,3.6643835885162295,1.3797707571423532,2018,1,16
20180117,1.0021028985577587,10.751864249617949,89.65659723627842,3.930671838913259,0.11558672244931543,2018,1,17
20180118,0.9769344386473725,11.805110846379486,69.56367764436118,3.0788742743494377,0.0950948041532477,2018,1,18
20180119,1.540510285098049,11.223904872568546,87.86319634078498,4.87361058138503,0.10244160119629776,2018,1,19
20180120,0.0,13.182734078448886,58.49818857197192,4.233658124028877,1.1334512415097608,2018,1,20
20180121,1.491522622596673,12.686401399975855,74.55864406253276,4.340016544324865,0.2719249403149729,2018,1,21
20180122,1.503790205306409,14.584322703745904,73.99829723648237,3.0942668442575623,0.2012003377160089,2018,1,22
20180123,1.346677093109959,12.408392079230488,73.12259816590169,5.972436939199367,1.052481048224433,2018,1,23
20180124,0.6726670296725316,11.842262614400054,78.60963711329673,4.10908868844721,0.3084029772538308,2018,1,24
20180125,0.7252094956117772,10.674338025280747,73.37515440848927,3.9120986728253944,0.3585439056001353,2018,1,25
20180126,0.8582905688205458,11.733118166498144,90.0949805625789,3.251469440144615,0.8605383400000628,2018,1,26
20180127,1.9895263266193857,11.351096746287698,72.65344634977825,4.179032169853743,0.15204583020049914,2018,1,27
20180128,0.4619105854900708,11.411597305876466,89.84189027721047,3.2766143515356743,0.36715991820962984,2018,1,28
20180129,0.0,11.523920637698179,84.89067067760587,3.781509324395781,1.878725958972095,2018,1,29
20180130,2.0017463226991934,16.788136382303392,66.77214529614282,3.5612968846157687,0.2543533640070515,2018,1,30
20180131,2.6707471918878567,16.98727607390749,87.49710334045318,3.5054003743755624,0.08048013128577008,2018,1,31
20180201,1.4844061809598899,16.43720832101452,82.83765656557993,3.2978556511159223,0.30427056825438104,2018,2,1
20180202,0.8604532941332153,13.558232938956976,52.72326534325262,3.0207541060835035,0.4444322946542049,2018,2,2
20180203,1.9208158951830214,12.096891139504457,84.33984530792513,3.262211657773885,0.12156779491126271,2018,2,3
20180204,1.2329417659806206,18.933955178744675,68.39481210011822,3.1328662725598058,0.3235414447646735,2018,2,4
20180205,1.448874397788554,12.762662836293035,80.58473361148035,3.450737662005626,0.14540633879180972,2018,2,5
20180206,0.0754509436350339,13.347714694999725,90.19491399346143,3.278654757484439,1.0293304595602153,2018,2,6
20180207,2.7435880544673914,16.955728597643112,76.31118976631353,4.262039558378827,0.15843240562118335,2018,2,7
20180208,2.488979708723148,17.605361818806408,70.15494981272688,4.019638094622618,0.24366322480077057,2018,2,8
20180209,1.459959561253782,16.766887400634843,78.10937698481189,3.514469469786175,0.5241198359416107,2018,2,9
20180210,2.772792345345845,16.579684600647898,74.99600856671725,4.447000564666882,0.04244403390196677,2018,2,10
20180211,1.3748964813134148,17.71424643336285,82.32451546429127,3.670939577378119,1.1950339027467083,2018,2,11
20180212,1.6028005738624016,15.23821927815839,73.66437714842024,3.360046707436896,0.45286236281324865,2018,2,12
20180213,2.392914146190615,13.912956089497392,54.348428419300845,4.014091283900514,0.348570025021357,2018,2,13
20180214,0.0,11.148341144017913,68.1576691793071,3.466215246405595,1.697894740669511,2018,2,14
20180215,2.9526343414438805,12.89308272354152,65.19934370169503,4.212352892407423,0.05188461431570108,2018,2,15
20180216,1.6159396178068932,14.252357602628036,67.52947605232595,4.502233854180204,0.6604788082215257,2018,2,16
20180217,1.725903566902097,20.32773309425779,65.34921907981217,3.2827943469894674,0.5344297740829087,2018,2,17
20180218,1.1520231796527318,12.432494237027178,65.71161701076626,4.526566706057637,0.7519494148265752,2018,2,18
20180219,1.3185734607570327,15.185503525903409,57.78415547551704,3.772048808207675,0.6134226888369758,2018,2,19
20180220,2.606093706450843,17.058548268925197,65.98664659955935,4.436114629413048,0.3860693011622268,2018,2,20
20180221,2.571926530540803,15.622312296795647,60.60293774087775,6.099744375340396,0.8132549281970926,2018,2,21
